prefix,city,provincia
0922,Agrigento,AG
0131,Alessandria,AL
071,Ancona,AN
0165,Aosta,AO
0736,Ascoli Piceno,AP
0862,L'Aquila,AQ
0575,Arezzo,AR
0141,Asti,AT
0825,Avellino,AV
080,Bari,BA
035,Bergamo,BG
015,Biella,BI
0437,Belluno,BL
0824,Benevento,BN
051,Bologna,BO
0831,Brindisi,BR
030,Brescia,BS
0883,Barletta-Andria-Trani,BT
0471,Bolzano,BZ
070,Cagliari,CA
0874,Campobasso,CB
0823,Caserta,CE
0871,Chieti,CH
0781,Carbonia,CI
0934,Caltanissetta,CL
0171,Cuneo,CN
031,Como,CO
0372,Cremona,CR
0984,Cosenza,CS
095,Catania,CT
0961,Catanzaro,CZ
0935,Enna,EN
0543,Forlì,FC
0532,Ferrara,FE
0881,Foggia,FG
055,Firenze,FI
0734,Fermo,FM
0775,Frosinone,FR
010,Genova,GE
0481,Gorizia,GO
0564,Grosseto,GR
0183,Imperia,IM
0865,Isernia,IS
0962,Crotone,KR
0341,Lecco,LC
0832,Lecce,LE
0586,Livorno,LI
0371,Lodi,LO
0773,Latina,LT
0583,Lucca,LU
039,Monza,MB
0733,Macerata,MC
090,Messina,ME
02,Milano,MI
0376,Mantova,MN
059,Modena,MO
0585,Massa,MS
0835,Matera,MT
081,Napoli,NA
0321,Novara,NO
0784,Nuoro,NU
0783,Oristano,OR
0789,Olbia,OT
091,Palermo,PA
0523,Piacenza,PC
049,Padova,PD
085,Pescara,PE
075,Perugia,PG
050,Pisa,PI
0434,Pordenone,PN
0574,Prato,PO
0521,Parma,PR
0573,Pistoia,PT
0721,Pesaro,PU
0382,Pavia,PV
0971,Potenza,PZ
0544,Ravenna,RA
0965,Reggio di Calabria,RC
0522,Reggio Emilia,RE
0932,Ragusa,RG
0746,Rieti,RI
06,Roma,RM
0541,Rimini,RN
0425,Rovigo,RO
089,Salerno,SA
0577,Siena,SI
0342,Sondrio,SO
0187,La Spezia,SP
0931,Siracusa,SR
079,Sassari,SS
070,Sanluri,SU
019,Savona,SV
099,Taranto,TA
0861,Teramo,TE
0461,Trento,TN
0121,Cuorgnè,TO
011,Torino,TO
0923,Trapani,TP
0744,Terni,TR
040,Trieste,TS
0422,Treviso,TV
0432,Udine,UD
0331,Busto Arsizio,VA
0332,Varese,VA
0323,Verbania,VB
0161,Vercelli,VC
041,Venezia,VE
0444,Vicenza,VI
045,Verona,VR
070,Sanluri,VS
0761,Viterbo,VT
0963,Vibo Valentia,VV















